observation_id,before_patient_contact,before_aseptic_task,after_body_fluid_exposure,after_patient_contact,after_patient_surroundings,compliant
O001,Yes,Yes,Yes,Yes,Yes,Yes
O002,No,Yes,Yes,Yes,No,No
O003,Yes,No,Yes,Yes,Yes,No
O004,Yes,Yes,Yes,Yes,Yes,Yes
05,No,No,Yes,No,No,No
O006,Yes,Yes,Yes,Yes,Yes,Yes
O007,No,No,No,Yes,No,No
O008,Yes,Yes,Yes,Yes,Yes,Yes
O009,No,Yes,Yes,No,No,No
O010,Yes,No,Yes,Yes,Yes,No
O011,Yes,Yes,Yes,Yes,Yes,Yes
O012,No,No,No,No,No,No
O013,Yes,Yes,Yes,Yes,Yes,Yes
O014,Yes,No,Yes,Yes,No,No
O015,Yes,Yes,Yes,Yes,Yes,Yes
O016,No,Yes,Yes,Yes,No,No
O017,Yes,Yes,Yes,Yes,Yes,Yes
O018,Yes,Yes,Yes,No,Yes,No
O019,No,Yes,Yes,Yes,No,No
O020,Yes,Yes,Yes,Yes,Yes,Yes
